lr,train/loss,train/color_loss,train/normal_loss,train/mask_error,train/psnr,train/s_val,epoch,created_at,val/loss,val/psnr
5.00E-05,0.82355243,0.633894145,0.001127488,0.188530803,11.513937,0.050061312,0,43:53.2,,
5.00E-05,0.750403285,0.563192606,0.000822298,0.186388373,12.76318073,0.050349496,0,44:15.8,,
5.00E-05,0.698437214,0.522395015,0.001327992,0.174714193,13.42108917,0.051795401,0,44:38.3,,
5.00E-05,0.707785964,0.535774231,0.00160826,0.17040351,13.31275368,0.052531879,0,45:00.9,,
5.00E-05,0.684549332,0.521147132,0.00201445,0.161387771,13.49427414,0.052567329,0,45:23.5,,
5.00E-05,0.650314212,0.485759556,0.004183121,0.160371527,13.91334438,0.052463587,0,45:46.1,,
5.00E-05,0.637395144,0.476845264,0.002594523,0.157955363,13.7677784,0.052664351,0,46:08.7,,
5.00E-05,0.60142076,0.439111233,0.002263431,0.160046086,14.44068432,0.05261698,0,46:31.3,,
5.00E-05,0.568480968,0.411311537,0.002157222,0.15501225,14.91149044,0.052425664,0,46:53.9,,
5.00E-05,0.559731543,0.400342166,0.002240248,0.157149121,15.16958618,0.052227702,0,47:16.5,,
5.00E-05,0.543130219,0.379737079,0.002188359,0.1612048,15.60500526,0.052010383,0,47:39.0,,
5.00E-05,0.509892702,0.359802008,0.002545667,0.147545055,15.78931999,0.051832892,0,48:01.6,,
5.00E-05,0.517136216,0.35476017,0.002373186,0.160002872,15.85015774,0.051669691,0,48:24.2,,
5.00E-05,0.501151443,0.338773221,0.002576596,0.159801617,16.17639732,0.051581401,0,48:46.8,,
5.00E-05,0.481296837,0.318282574,0.002754719,0.160259545,16.78530121,0.051528923,0,49:09.4,,
5.00E-05,0.460091084,0.303496569,0.002695303,0.153899223,16.95251274,0.051455215,0,49:31.9,,
5.00E-05,0.452907145,0.299727231,0.00296411,0.150215819,16.93331909,0.051391061,0,49:54.6,,
5.00E-05,0.451510936,0.287458837,0.00297659,0.161075503,17.34134483,0.051407073,0,50:17.1,,
5.00E-05,0.434446692,0.27676481,0.002996598,0.154685274,17.35942078,0.051446114,0,50:39.8,,
5.00E-05,0.435244143,0.273345917,0.00285309,0.159045145,17.52451706,0.05137815,0,51:02.4,,
5.00E-05,0.424132138,0.266275525,0.0028984,0.154958218,17.55352592,0.051377047,0,51:25.1,,
5.00E-05,0.420331866,0.26841712,0.002873768,0.149040967,17.59036636,0.05140803,0,51:47.7,,
5.00E-05,0.432492673,0.267448217,0.002918417,0.162126049,17.63433647,0.051414546,0,52:10.3,,
5.00E-05,0.42817688,0.266464293,0.002996891,0.15871571,17.54581261,0.051447399,0,52:32.9,,
5.00E-05,0.420586467,0.262324333,0.003213803,0.155048355,17.58934784,0.051499184,0,52:55.5,,
5.00E-05,0.418205202,0.25699535,0.002975164,0.158234671,17.63056564,0.051586911,0,53:18.0,,
5.00E-05,0.429463744,0.264093935,0.002784036,0.16258578,17.84267807,0.051626075,0,53:40.7,,
5.00E-05,0.415839493,0.262592196,0.003114303,0.150132999,17.5215435,0.051673286,0,54:03.3,,
5.00E-05,0.415554941,0.257069588,0.002898484,0.155586854,17.68387222,0.051845118,0,54:25.9,,
5.00E-05,0.422928214,0.249556184,0.002959905,0.170412108,17.8133564,0.051902253,0,54:48.5,,
5.00E-05,0.408180475,0.248382136,0.002795462,0.157002851,17.71463776,0.051985536,0,55:11.1,,
5.00E-05,0.403384447,0.246234491,0.002881984,0.154267982,18.04527092,0.052052274,0,55:33.7,,
5.00E-05,0.406038523,0.235809699,0.002625154,0.167603657,18.20747185,0.05203237,0,55:56.4,,
5.00E-05,0.411770761,0.242864743,0.002712826,0.166193172,18.18570137,0.052060716,0,56:19.0,,
5.00E-05,0.415394425,0.238686338,0.002583986,0.174124122,18.16519737,0.052053906,0,56:41.7,,
5.00E-05,0.39585492,0.241570935,0.002385254,0.151898727,17.96235657,0.052156173,0,57:04.3,,
5.00E-05,0.40758574,0.240223542,0.00250571,0.164856508,18.08351326,0.05222379,0,57:29.1,,
5.00E-05,0.382650912,0.221817717,0.002717762,0.158115417,18.79201889,0.052415889,0,57:51.7,,
5.00E-05,0.380177677,0.231932014,0.002429438,0.145816237,18.10414886,0.052546371,0,58:14.4,,
5.00E-05,0.401299655,0.241984367,0.002625162,0.156690106,17.89059067,0.052611355,0,58:37.0,,
5.00E-05,0.373517513,0.227542907,0.002572957,0.143401667,18.50650406,0.052780364,0,59:00.0,,
5.00E-05,0.385269433,0.226662979,0.002422116,0.156184345,18.46656609,0.052907523,0,59:22.6,,
5.00E-05,0.383199543,0.223846316,0.002391613,0.15696162,18.49988174,0.053112105,0,59:45.2,,
5.00E-05,0.405058652,0.241007388,0.002492053,0.161559209,18.2263546,0.053196523,0,00:07.9,,
5.00E-05,0.397573471,0.238019049,0.002355265,0.157199144,18.04118919,0.0532257,0,00:30.4,,
5.00E-05,0.368940532,0.219216362,0.002376969,0.147347212,18.57858467,0.053198323,0,00:53.1,,
5.00E-05,0.379551798,0.221775696,0.002324523,0.155451581,18.86113739,0.053337321,0,01:15.7,,
5.00E-05,0.374052197,0.215363488,0.002081212,0.156607494,19.13380623,0.053409886,0,01:38.4,,
5.00E-05,0.370364606,0.214224964,0.002331903,0.153807744,19.16092873,0.05356025,0,02:01.1,,
5.00E-05,0.39285329,0.22828421,0.002295818,0.162273258,18.22801399,0.053741489,0,02:23.7,,
5.00E-05,0.386594862,0.222746968,0.00237382,0.161474079,18.85446739,0.053792246,0,02:46.3,,
5.00E-05,0.377545267,0.221865997,0.002336128,0.153343141,18.67965698,0.053794194,0,03:08.9,,
5.00E-05,0.372943491,0.210226163,0.002151618,0.160565704,19.13681412,0.053829167,0,03:31.6,,
5.00E-05,0.395222783,0.23368147,0.00209704,0.159444287,17.91996956,0.053918857,0,03:54.1,,
5.00E-05,0.361654252,0.209589988,0.002148114,0.149916157,19.21581268,0.053968761,0,04:16.7,,
5.00E-05,0.378391534,0.217696398,0.002345548,0.158349589,18.72888756,0.054141261,0,04:39.3,,
5.00E-05,0.371988535,0.216442823,0.002231818,0.15331389,18.46255875,0.054164514,0,05:02.0,,
5.00E-05,0.383023381,0.219780803,0.002246498,0.160996065,18.7769928,0.054149084,0,05:24.6,,
5.00E-05,0.392720371,0.230378047,0.002308397,0.160033926,17.8325634,0.054175712,0,05:47.2,,
5.00E-05,0.378944248,0.215124935,0.002360794,0.161458522,18.68783569,0.054321695,0,06:09.8,,
5.00E-05,0.373286068,0.210155442,0.002163694,0.160966918,19.02171326,0.054501072,0,06:32.5,,
5.00E-05,0.383562446,0.227580175,0.002283356,0.153698921,18.08048058,0.054666888,0,06:55.0,,
5.00E-05,0.370911837,0.208414599,0.001992131,0.160505086,18.93537712,0.054660011,0,07:17.6,,
5.00E-05,0.367100656,0.208918765,0.002393287,0.1557886,19.2055397,0.054571308,0,07:40.2,,
5.00E-05,0.380671859,0.21325165,0.002093528,0.16532667,18.76010513,0.054786626,0,08:02.8,,
5.00E-05,0.370438159,0.203677014,0.002030883,0.164730266,19.20584106,0.054807287,0,08:25.4,,
5.00E-05,0.354739428,0.204260007,0.002165978,0.148313433,19.12111092,0.054866441,0,08:48.0,,
5.00E-05,0.395149499,0.230283409,0.002059294,0.162806794,18.7142067,0.055032019,0,09:10.7,,
5.00E-05,0.356068492,0.203464851,0.002066763,0.15053688,19.07781792,0.055045534,0,09:33.3,,
5.00E-05,0.361349285,0.206417397,0.001996199,0.152935684,19.33636093,0.055093184,0,09:55.9,,
5.00E-05,0.373856604,0.213190034,0.001984585,0.158681974,18.95691299,0.055082336,0,10:18.6,,
5.00E-05,0.380573511,0.220147178,0.002043802,0.15838252,18.63036728,0.055074271,0,10:41.1,,
5.00E-05,0.359475195,0.198657617,0.001968361,0.15884921,19.21089554,0.055159662,0,11:03.7,,
5.00E-05,0.373057455,0.209049359,0.002191693,0.161816403,19.03186798,0.055294137,0,11:28.4,,
5.00E-05,0.364146829,0.206445351,0.001939693,0.155761763,18.99532318,0.05542944,0,11:51.1,,
5.00E-05,0.371453524,0.21862483,0.002155852,0.150672838,18.50050926,0.055618215,0,12:13.6,,
5.00E-05,0.381319106,0.217449293,0.002165705,0.161704108,18.4748497,0.055677399,0,12:36.2,,
5.00E-05,0.371467471,0.207903698,0.002418862,0.161144897,18.73683167,0.055791505,0,12:58.8,,
5.00E-05,0.351190507,0.199112192,0.001956424,0.150121912,19.09972954,0.055843182,0,13:21.5,,
5.00E-05,0.371300459,0.208066329,0.002000734,0.16123341,18.810709,0.056003951,0,13:44.1,,
5.00E-05,0.360401064,0.19112511,0.002059987,0.167215973,19.56932259,0.056106575,0,14:07.0,,
5.00E-05,0.373817146,0.207284182,0.002060353,0.164472595,19.04138947,0.0561096,0,14:29.6,,
5.00E-05,0.357199967,0.203846827,0.002012712,0.15134041,18.75596046,0.056075849,0,14:52.2,,
5.00E-05,0.369166464,0.2078062,0.002139706,0.159220561,19.0234375,0.056084219,0,15:14.8,,
5.00E-05,0.371789813,0.205931023,0.002084591,0.163774177,18.89982033,0.056189332,0,15:37.5,,
5.00E-05,0.355996668,0.197859615,0.002031996,0.156105071,19.46343613,0.056500051,0,16:00.1,,
5.00E-05,0.373813212,0.203888804,0.002024338,0.167900085,19.08520126,0.056616075,0,16:22.7,,
5.00E-05,0.350410789,0.193176761,0.002134971,0.155099064,19.30306816,0.05685946,0,16:45.3,,
5.00E-05,0.370767057,0.203462914,0.002098311,0.165205821,19.06072235,0.056963652,0,17:07.9,,
5.00E-05,0.390076339,0.216410115,0.001905533,0.171760678,18.38876915,0.056965567,0,17:30.5,,
5.00E-05,0.345919549,0.193120748,0.002191493,0.150607288,19.51032829,0.056984439,0,17:53.2,,
5.00E-05,0.360755682,0.194452673,0.002144144,0.164158851,19.34042358,0.057151366,0,18:15.7,,
5.00E-05,0.352646947,0.208344445,0.002070138,0.142232373,18.87068558,0.057291582,0,18:38.3,,
5.00E-05,0.350292057,0.191713452,0.002210358,0.156368241,19.72581673,0.057280894,0,19:00.9,,
5.00E-05,0.3575055,0.194835067,0.001976142,0.160694301,19.26693344,0.057431754,0,19:23.6,,
5.00E-05,0.380816579,0.208775699,0.002034587,0.170006305,18.67675591,0.057513788,0,19:46.3,,
5.00E-05,0.360102177,0.200116426,0.001933199,0.158052549,19.16742325,0.057720259,0,20:08.9,,
5.00E-05,0.361035824,0.201427221,0.001818627,0.157789961,19.27231598,0.05788298,0,20:31.5,,
5.00E-05,0.362480015,0.194789186,0.002006416,0.165684417,19.749897,0.057890516,0,20:54.2,,
5.00E-05,0.355761409,0.197247297,0.002005049,0.156509042,19.21705818,0.057827283,0,21:26.0,,
5.00E-05,0.363532543,0.196620598,0.002515678,0.164396271,19.36773682,0.056901496,0,21:56.8,,
5.00E-05,0.351474404,0.195895851,0.002062809,0.153515741,19.40841866,0.055896781,0,22:27.2,,
5.00E-05,0.35703826,0.190400019,0.002254167,0.164384067,19.31141281,0.055374596,0,22:57.7,,
5.00E-05,0.358105063,0.199647054,0.002041345,0.156416684,19.08545685,0.054775462,0,23:28.2,,
5.00E-05,0.351035476,0.193362668,0.002183914,0.155488878,19.2442627,0.054310728,0,23:58.7,,
5.00E-05,0.364620954,0.199242562,0.001873917,0.163504481,18.72242355,0.053789139,0,24:29.1,,
5.00E-05,0.349990189,0.189991653,0.002253192,0.157745346,19.53819084,0.0533357,0,24:59.6,,
5.00E-05,0.345699012,0.18010135,0.001912415,0.163685247,20.0128212,0.052983694,0,25:30.2,,
5.00E-05,0.339280725,0.183166355,0.001836141,0.154278219,19.93781471,0.052788176,0,26:00.6,,
5.00E-05,0.337908804,0.182966724,0.001834194,0.153107867,19.68972778,0.052362267,0,26:31.0,,
5.00E-05,0.347716689,0.199029401,0.001810712,0.146876588,19.10831451,0.051966511,0,27:03.7,,
5.00E-05,0.350455225,0.189111233,0.001855563,0.15948844,19.61592293,0.051661436,0,27:34.2,,
5.00E-05,0.351673126,0.185385823,0.001995441,0.164291859,19.7912426,0.051349871,0,28:04.7,,
5.00E-05,0.340707064,0.184895813,0.001722184,0.154089063,19.57154846,0.051052231,0,28:35.1,,
5.00E-05,0.345011204,0.183017835,0.001995947,0.159997419,19.60228729,0.050806616,0,29:05.5,,
5.00E-05,0.359708935,0.188785613,0.001634218,0.169289097,19.33234406,0.050555378,0,29:36.0,,
5.00E-05,0.354086101,0.189647645,0.001930253,0.162508205,19.45827293,0.050239567,0,30:06.5,,
5.00E-05,0.355992556,0.186918914,0.001813602,0.167260036,19.5144825,0.050234266,0,30:37.1,,
5.00E-05,0.338580787,0.186897188,0.001716733,0.149966881,19.58523178,0.050019562,0,31:07.5,,
5.00E-05,0.337681383,0.184727043,0.00170539,0.151248947,19.59193611,0.04982654,0,31:38.0,,
5.00E-05,0.341471553,0.179870814,0.00194137,0.159659386,19.89088631,0.049712025,0,32:08.8,,
5.00E-05,0.329341233,0.179792359,0.001722438,0.147826448,20.11297417,0.049616821,0,32:39.2,,
5.00E-05,0.345980734,0.180379048,0.001750589,0.163851097,20.07689667,0.049388308,0,33:09.7,,
5.00E-05,0.320066482,0.167618185,0.001884633,0.150563657,20.72357559,0.049094465,0,33:40.1,,
5.00E-05,0.352198422,0.19220309,0.001770957,0.158224374,19.3103199,0.049109008,0,34:10.6,,
5.00E-05,0.333220214,0.17638728,0.001753623,0.155079305,19.65900612,0.049013577,0,34:41.1,,
5.00E-05,0.356260419,0.180254236,0.00170602,0.174300179,19.93307877,0.048838142,0,35:11.6,,
5.00E-05,0.344595999,0.186335549,0.001974387,0.156286061,19.33024216,0.048650824,0,35:42.1,,
5.00E-05,0.345285952,0.175034538,0.001735616,0.168515787,19.92472076,0.04855644,0,36:12.5,,
5.00E-05,0.350798428,0.180999503,0.00181862,0.167980298,19.65274048,0.048372865,0,36:42.9,,
5.00E-05,0.331581384,0.181329906,0.001678987,0.14857249,19.70713234,0.048159711,0,37:13.4,,
5.00E-05,0.358539462,0.19207412,0.00186236,0.16460298,19.0750618,0.048037127,0,37:43.9,,
5.00E-05,0.340074122,0.17943655,0.001777648,0.158859923,20.01988983,0.047876898,0,38:14.4,,
5.00E-05,0.349008203,0.184042215,0.001680202,0.163285792,19.40128517,0.047804266,0,38:44.8,,
5.00E-05,0.335278273,0.176726609,0.002045493,0.156506151,19.7638073,0.04760028,0,39:15.3,,
5.00E-05,0.333961993,0.177569687,0.001770818,0.154621482,19.86252022,0.047629386,0,39:45.8,,
5.00E-05,0.354082882,0.188436761,0.001476356,0.164169744,19.62476921,0.047590826,0,40:16.3,,
5.00E-05,0.345225155,0.186419457,0.00182035,0.156985328,19.29299545,0.047435485,0,40:46.7,,
5.00E-05,0.331231415,0.174918205,0.001575938,0.154737264,20.46646309,0.047365997,0,41:17.2,,
5.00E-05,0.336818695,0.175430283,0.001800098,0.159588322,20.2098732,0.047248691,0,41:47.7,,
5.00E-05,0.339606225,0.182258248,0.001671976,0.155676022,19.65211868,0.047081828,0,42:18.1,,
5.00E-05,0.338154078,0.17638956,0.001813786,0.159950733,19.9728756,0.046959814,0,42:48.6,,
5.00E-05,0.337547332,0.17723538,0.001651309,0.15866065,20.00468063,0.046773467,0,43:19.1,,
5.00E-05,0.331417441,0.172909483,0.001689231,0.156818733,19.88661575,0.046589084,0,43:49.6,,
5.00E-05,0.349872828,0.175753549,0.001659753,0.172459528,19.84170341,0.046630777,0,44:20.0,,
5.00E-05,0.343075573,0.186222345,0.001582441,0.15527077,19.33587646,0.046533566,0,44:50.4,,
5.00E-05,0.354882002,0.175502717,0.001591099,0.177788183,19.81885338,0.046361376,0,45:20.9,,
5.00E-05,0.336801738,0.175633773,0.001618868,0.159549102,19.85354424,0.046319798,0,45:53.4,,
5.00E-05,0.347437143,0.182868436,0.001719903,0.162848815,19.29836082,0.046383619,0,46:23.9,,
5.00E-05,0.336803615,0.171531081,0.001648951,0.163623601,20.07671547,0.046284098,0,46:54.3,,
5.00E-05,0.349508762,0.179197952,0.00166311,0.168647721,19.82826233,0.046176817,0,47:24.9,,
5.00E-05,0.322223514,0.171476081,0.001645189,0.149102241,20.14454651,0.046090588,0,47:55.4,,
5.00E-05,0.326074779,0.17271024,0.001656201,0.15170835,20.38312149,0.045987014,0,48:25.9,,
5.00E-05,0.334167361,0.173145771,0.001627853,0.159393743,20.05764961,0.046008639,0,48:56.3,,
5.00E-05,0.332491636,0.176765606,0.001684218,0.154041827,19.79143524,0.045851249,0,49:26.9,,
5.00E-05,0.33471027,0.178290337,0.001681279,0.15473865,19.73431778,0.045865133,0,49:57.4,,
5.00E-05,0.337860942,0.178550944,0.001639334,0.157670677,19.47839355,0.045826659,0,50:27.9,,
5.00E-05,0.334826469,0.17102921,0.001783425,0.162013844,19.99984932,0.045776259,0,50:58.2,,
5.00E-05,0.349781275,0.184254557,0.001778046,0.163748667,19.48208618,0.045632187,0,51:28.7,,
5.00E-05,0.35334301,0.185823962,0.001730388,0.16578868,19.51044846,0.045721058,0,51:59.0,,
5.00E-05,0.333291382,0.163450897,0.001398688,0.168441802,20.78022194,0.04556524,0,52:29.8,,
5.00E-05,0.336712599,0.170043126,0.001499616,0.165169835,20.06715393,0.045372624,0,53:00.3,,
5.00E-05,0.317574203,0.167871222,0.00145576,0.148247212,20.65108871,0.045320608,0,53:30.8,,
5.00E-05,0.331067741,0.176811069,0.001615034,0.152641654,19.65308762,0.045140307,0,54:01.3,,
5.00E-05,0.329063058,0.165241241,0.00183703,0.161984786,20.41505432,0.044925347,0,54:31.8,,
5.00E-05,0.345227242,0.174379468,0.00170708,0.169140682,19.77505875,0.044834834,0,55:02.2,,
5.00E-05,0.329482138,0.170419514,0.001860891,0.157201752,20.23507881,0.04465124,0,55:32.8,,
5.00E-05,0.345177174,0.166729063,0.001512193,0.176935926,20.21036911,0.0445983,0,56:03.2,,
5.00E-05,0.321705967,0.167730436,0.001523161,0.152452365,19.78209877,0.044475511,0,56:33.6,,
5.00E-05,0.338576436,0.171394572,0.001794379,0.165387481,19.96534729,0.044359114,0,57:04.1,,
5.00E-05,0.320023954,0.162976846,0.001620195,0.155426905,20.62352753,0.044273425,0,57:34.5,,
5.00E-05,0.333789885,0.17331779,0.00159158,0.158880517,19.79969406,0.044256225,0,58:05.0,,
5.00E-05,0.32091859,0.16905354,0.001471494,0.150393561,20.46175003,0.044186749,0,58:35.6,,
5.00E-05,0.32350266,0.160701022,0.00138641,0.161415234,20.75788689,0.044033412,0,59:06.0,,
5.00E-05,0.340488911,0.176904634,0.0016883,0.16189599,19.66706467,0.043987475,0,59:36.5,,
5.00E-05,0.327964902,0.169471338,0.001560722,0.156932846,20.20788002,0.044086292,0,00:07.0,,
5.00E-05,0.329321444,0.167679548,0.001477196,0.160164699,20.16521835,0.044154014,0,00:37.4,,
5.00E-05,0.326860845,0.171084791,0.001573328,0.154202744,20.18061066,0.044044867,0,01:07.9,,
5.00E-05,0.332206249,0.168795481,0.001705619,0.161705166,20.14604568,0.043957133,0,01:38.4,,
5.00E-05,0.323027164,0.15999268,0.001519401,0.161515087,20.81961441,0.043908868,0,02:08.9,,
5.00E-05,0.331761301,0.164380237,0.001641361,0.165739715,20.60468483,0.04370445,0,02:39.3,,
5.00E-05,0.323746443,0.169333115,0.001662528,0.15275082,20.35338593,0.043652289,0,03:09.7,,
5.00E-05,0.341925323,0.168907881,0.001432378,0.171585068,20.34415436,0.043518953,0,03:40.3,,
5.00E-05,0.342043281,0.17274636,0.001498936,0.167797968,20.14048576,0.043450136,0,04:10.8,,
5.00E-05,0.329854339,0.170291916,0.001650606,0.157911822,20.0862484,0.043319441,0,04:43.5,,
5.00E-05,0.329757154,0.170826808,0.001622805,0.157307535,19.67777634,0.043160032,0,05:13.9,,
5.00E-05,0.322078109,0.166107088,0.001501621,0.154469401,20.19176674,0.043053314,0,05:44.4,,
5.00E-05,0.326893717,0.164324954,0.001564358,0.161004409,20.33159637,0.042916711,0,06:14.9,,
5.00E-05,0.331096053,0.165738538,0.001654936,0.163702592,20.09762955,0.042817563,0,06:45.3,,
5.00E-05,0.321427912,0.158110529,0.00136358,0.161953807,20.74588013,0.042767655,0,07:15.7,,
5.00E-05,0.329494894,0.168559313,0.001753001,0.159182578,20.15128326,0.042611055,0,07:46.1,,
5.00E-05,0.325135291,0.160782635,0.001637591,0.162715062,20.45675278,0.042551622,0,08:16.5,,
5.00E-05,0.329562873,0.167238235,0.001535393,0.160789251,20.00526237,0.042511053,0,08:47.0,,
5.00E-05,0.328242213,0.161778808,0.001514821,0.164948583,20.40795898,0.042400911,0,09:17.5,,
5.00E-05,0.309960127,0.162085399,0.00157896,0.146295756,20.42491531,0.04230997,0,09:47.9,,
5.00E-05,0.324621171,0.17028144,0.001642661,0.152697071,19.54458618,0.042136248,0,10:18.3,,
5.00E-05,0.320283592,0.162576497,0.001708699,0.155998379,20.5498867,0.042070173,0,10:48.7,,
5.00E-05,0.31614095,0.158835158,0.001716412,0.155589402,20.88926506,0.042084649,0,11:19.2,,
5.00E-05,0.331580758,0.162225038,0.001571851,0.167783871,20.55888748,0.042043019,0,11:49.8,,
5.00E-05,0.327085525,0.164946914,0.001759819,0.160378799,20.58803368,0.041916639,0,12:29.3,,
,,,,,,,0,12:51.0,1.091825247,12.53398132
5.00E-05,0.332238644,0.172741294,0.001552876,0.157944471,20.01118469,0.042037047,0,13:22.2,,
5.00E-05,0.332361907,0.171095252,0.001331421,0.159935236,19.94614983,0.04205149,0,13:52.6,,
5.00E-05,0.343611836,0.172773048,0.001347344,0.169491455,19.8113842,0.042155545,0,14:23.2,,
5.00E-05,0.333979428,0.164699435,0.001665617,0.167614385,20.62465286,0.042205557,0,14:53.5,,
5.00E-05,0.331783205,0.16633217,0.001648342,0.163802698,19.95617485,0.042204965,0,15:24.0,,
5.00E-05,0.310914159,0.159664676,0.001444339,0.149805158,20.44723129,0.042224754,0,15:54.3,,
5.00E-05,0.341022849,0.165905505,0.001474002,0.173643336,20.30033493,0.042106207,0,16:24.7,,
5.00E-05,0.324388653,0.163253769,0.001611587,0.159523293,20.59480476,0.042000111,0,16:55.2,,
5.00E-05,0.328213215,0.163330972,0.001176694,0.163705528,20.32112122,0.041930191,0,17:25.6,,
5.00E-05,0.323049277,0.161531508,0.001350825,0.160166949,20.59216309,0.041860532,0,17:56.1,,
5.00E-05,0.309631824,0.163118809,0.001335072,0.14517796,20.42888641,0.041920535,0,18:26.6,,
5.00E-05,0.317033261,0.157864481,0.001379432,0.15778935,20.97330475,0.0418371,0,18:57.0,,
5.00E-05,0.313995034,0.162865549,0.001447034,0.149682447,19.99058533,0.041720007,0,19:27.5,,
5.00E-05,0.319856405,0.158511356,0.001386295,0.15995875,20.75606155,0.041734811,0,19:58.0,,
5.00E-05,0.32619372,0.167225599,0.001335273,0.157632843,20.11488724,0.041668642,0,20:28.5,,
5.00E-05,0.342099667,0.163778767,0.001494476,0.176826403,20.38069725,0.041558426,0,20:59.0,,
5.00E-05,0.323152602,0.165797606,0.001469994,0.155884996,20.24020958,0.041661542,0,21:29.4,,
5.00E-05,0.347073168,0.171048388,0.001641464,0.174383312,19.80976295,0.041670259,0,21:59.9,,
5.00E-05,0.323186874,0.171480209,0.001364826,0.150341824,19.82825661,0.04168478,0,22:30.4,,
5.00E-05,0.321074307,0.157101348,0.001369426,0.162603512,20.82770348,0.041649781,0,23:00.8,,
5.00E-05,0.313785106,0.160330713,0.001290032,0.152164355,20.80078506,0.041512161,0,23:33.6,,
5.00E-05,0.328377306,0.159378171,0.001489131,0.167509988,20.5990963,0.041436072,0,24:03.9,,
5.00E-05,0.330432743,0.169525951,0.001435291,0.159471497,19.80128288,0.041393038,0,24:34.4,,
5.00E-05,0.319255501,0.160950735,0.001293244,0.157011524,20.40362549,0.041329432,0,25:04.9,,
5.00E-05,0.318980277,0.161476642,0.001375785,0.156127855,20.56258965,0.041359942,0,25:35.4,,
5.00E-05,0.317128837,0.161674783,0.00130979,0.154144242,20.71306419,0.041264817,0,26:05.9,,
5.00E-05,0.328109056,0.165202916,0.001264003,0.161642134,20.34984398,0.041254032,0,26:36.4,,
5.00E-05,0.322274983,0.167848587,0.001362574,0.153063819,19.56937981,0.041194364,0,27:06.9,,
5.00E-05,0.314527303,0.162749678,0.001484123,0.150293499,19.95487022,0.0412779,0,27:37.3,,
5.00E-05,0.31896323,0.16041097,0.001476784,0.15707548,20.45378876,0.0412466,0,28:07.7,,
5.00E-05,0.308954358,0.151395634,0.001409959,0.156148762,21.14549255,0.041190483,0,28:38.2,,
5.00E-05,0.318125993,0.157445997,0.001403902,0.159276098,20.75258255,0.041046031,0,29:08.7,,
5.00E-05,0.327992976,0.159278825,0.001271369,0.167442784,20.22750854,0.040944673,0,29:39.2,,
5.00E-05,0.310147882,0.150390908,0.001339208,0.158417746,21.21808815,0.040933646,0,30:09.6,,
5.00E-05,0.326864153,0.159626722,0.001150578,0.166086853,20.42990112,0.040871534,0,30:40.1,,
5.00E-05,0.323358059,0.158464417,0.001437782,0.163455844,20.72252274,0.040764503,0,31:10.4,,
5.00E-05,0.314581513,0.15709649,0.001627307,0.155857727,20.7894783,0.040615462,0,31:40.9,,
5.00E-05,0.304694414,0.146628633,0.001321912,0.156743884,21.21802139,0.040598795,0,32:11.4,,
5.00E-05,0.330580294,0.161143154,0.001512554,0.167924568,20.21195984,0.040595464,0,32:41.9,,
5.00E-05,0.327918082,0.159559578,0.001357335,0.167001173,20.4392128,0.040471572,0,33:12.4,,
5.00E-05,0.326600909,0.169788063,0.00144353,0.155369326,19.80786133,0.040477023,0,33:43.2,,
5.00E-05,0.316686273,0.15976496,0.001442686,0.155478641,20.4078331,0.040545899,0,34:13.6,,
5.00E-05,0.310244858,0.153155461,0.001233035,0.155856356,20.71651268,0.040492065,0,34:44.1,,
